fecha,producto_id,nombre,categoria,subcategoria,precio_base,es_estrella,unidades_vendidas,precio_venta,ingresos,Amazon,Decathlon,Deporvillage
2025-10-26,PROD_021,Manduka PRO Yoga Mat,Wellness,Esterilla Yoga,130,True,7.0,131.02,917.14,134.43,118.43,125.61
2025-10-26,PROD_022,Gaiam Premium Yoga Block,Wellness,Bloque Yoga,20,False,2.0,20.12,40.24,19.69,18.15,19.63
2025-10-26,PROD_023,Liforme Yoga Pad,Wellness,Rodillera Yoga,35,False,2.0,35.69,71.38,32.57,30.32,35.28
2025-10-26,PROD_024,Lotuscrafts Yoga Bolster,Wellness,Cojín Yoga,50,False,4.0,49.66,198.64,47.97,45.35,48.76
2025-10-27,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,16.0,114.95,1839.2,86.91,112.53,93.78
2025-10-27,PROD_002,Adidas Ultraboost 23,Running,Zapatillas Running,135,True,15.0,132.45,1986.75,115.1,111.66,130.9
2025-10-27,PROD_003,Asics Gel Nimbus 25,Running,Zapatillas Running,85,False,3.0,84.33,252.99,82.8,70.37,87.61
2025-10-27,PROD_004,New Balance Fresh Foam X 1080v12,Running,Zapatillas Running,75,False,6.0,73.53,441.18,75.67,66.6,79.33
2025-10-27,PROD_005,Nike Dri-FIT Miler,Running,Ropa Running,35,False,1.0,35.35,35.35,33.72,30.02,33.29
2025-10-27,PROD_006,Adidas Own The Run Jacket,Running,Ropa Running,65,False,2.0,63.81,127.62,62.9,57.76,64.14
2025-10-27,PROD_007,Puma Velocity Nitro 2,Running,Zapatillas Running,70,False,2.0,69.24,138.48,71.37,65.91,72.09
2025-10-27,PROD_008,Reebok Floatride Energy 5,Running,Zapatillas Running,65,False,1.0,64.62,64.62,61.14,61.44,62.69
2025-10-27,PROD_009,Bowflex SelectTech 552,Fitness,Mancuernas Ajustables,400,True,2.0,425.32,850.64,391.92,315.37,374.1
2025-10-27,PROD_010,Domyos BM900,Fitness,Banco Gimnasio,175,True,2.0,174.91,349.82,179.79,150.01,175.59
2025-10-27,PROD_011,Reebok Professional Deck,Fitness,Esterilla Fitness,45,False,4.0,44.7,178.8,45.32,40.17,45.77
2025-10-27,PROD_012,Domyos Kit Mancuernas 20kg,Fitness,Pesas Casa,55,False,12.0,55.5,666.0,57.8,50.3,54.64
2025-10-27,PROD_013,Decathlon Bandas Elásticas Set,Fitness,Bandas Elásticas,25,False,1.0,24.68,24.68,24.53,22.0,25.49
2025-10-27,PROD_014,Sveltus Kettlebell 12kg,Fitness,Pesa Rusa,40,False,3.0,39.39,118.17,38.84,36.21,39.21
2025-10-27,PROD_015,Salomon Speedcross 5 GTX,Outdoor,Zapatillas Trail,150,True,5.0,158.99,794.95,149.46,157.57,132.34
2025-10-27,PROD_016,Trek Marlin 7,Outdoor,Bicicleta Montaña,830,True,3.0,810.04,2430.12,767.56,760.48,851.4
2025-10-27,PROD_017,The North Face Borealis,Outdoor,Mochila Trekking,95,False,1.0,95.74,95.74,85.64,90.16,92.37
2025-10-27,PROD_018,Columbia Silver Ridge,Outdoor,Ropa Montaña,70,False,4.0,69.49,277.96,68.57,63.15,67.29
2025-10-27,PROD_019,Merrell Moab 2 GTX,Outdoor,Zapatillas Trail,110,False,2.0,112.07,224.14,106.24,99.39,100.54
2025-10-27,PROD_020,Quechua MH500,Outdoor,Ropa Montaña,80,False,4.0,80.22,320.88,74.41,74.15,78.31
2025-10-27,PROD_021,Manduka PRO Yoga Mat,Wellness,Esterilla Yoga,130,True,6.0,128.83,772.98,129.94,112.9,117.64
2025-10-27,PROD_022,Gaiam Premium Yoga Block,Wellness,Bloque Yoga,20,False,2.0,19.95,39.9,20.55,17.36,19.82
2025-10-27,PROD_023,Liforme Yoga Pad,Wellness,Rodillera Yoga,35,False,2.0,35.63,71.26,31.65,33.09,34.07
2025-10-27,PROD_024,Lotuscrafts Yoga Bolster,Wellness,Cojín Yoga,50,False,2.0,50.34,100.68,51.08,43.72,50.85
2025-10-28,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,15.0,117.31,1759.65,82.31,118.68,108.45
2025-10-28,PROD_002,Adidas Ultraboost 23,Running,Zapatillas Running,135,True,12.0,126.61,1519.32,119.04,119.76,126.58
2025-10-28,PROD_003,Asics Gel Nimbus 25,Running,Zapatillas Running,85,False,6.0,83.77,502.62,78.0,75.07,79.99
2025-10-28,PROD_004,New Balance Fresh Foam X 1080v12,Running,Zapatillas Running,75,False,5.0,75.46,377.3,77.44,66.0,72.42
2025-10-28,PROD_005,Nike Dri-FIT Miler,Running,Ropa Running,35,False,2.0,35.6,71.2,36.96,31.78,36.31
2025-10-28,PROD_006,Adidas Own The Run Jacket,Running,Ropa Running,65,False,1.0,64.24,64.24,64.82,54.84,64.15
2025-10-28,PROD_007,Puma Velocity Nitro 2,Running,Zapatillas Running,70,False,6.0,70.12,420.72,73.64,62.1,66.46
2025-10-28,PROD_008,Reebok Floatride Energy 5,Running,Zapatillas Running,65,False,8.0,65.43,523.44,64.96,59.65,66.47
2025-10-28,PROD_009,Bowflex SelectTech 552,Fitness,Mancuernas Ajustables,400,True,2.0,406.0,812.0,373.73,352.76,395.47
2025-10-28,PROD_010,Domyos BM900,Fitness,Banco Gimnasio,175,True,3.0,169.32,507.96,182.91,167.27,153.65
2025-10-28,PROD_011,Reebok Professional Deck,Fitness,Esterilla Fitness,45,False,6.0,45.01,270.06,45.87,41.45,45.01
2025-10-28,PROD_012,Domyos Kit Mancuernas 20kg,Fitness,Pesas Casa,55,False,8.0,54.51,436.08,57.01,50.66,56.11
2025-10-28,PROD_013,Decathlon Bandas Elásticas Set,Fitness,Bandas Elásticas,25,False,10.0,24.61,246.1,25.15,21.52,25.38
2025-10-28,PROD_014,Sveltus Kettlebell 12kg,Fitness,Pesa Rusa,40,False,5.0,40.02,200.1,36.93,37.7,40.49
2025-10-28,PROD_015,Salomon Speedcross 5 GTX,Outdoor,Zapatillas Trail,150,True,4.0,150.77,603.08,148.02,151.12,135.98
2025-10-28,PROD_016,Trek Marlin 7,Outdoor,Bicicleta Montaña,830,True,3.0,843.07,2529.21,782.87,677.72,801.79
2025-10-28,PROD_017,The North Face Borealis,Outdoor,Mochila Trekking,95,False,3.0,94.93,284.79,90.23,85.17,95.08
2025-10-28,PROD_018,Columbia Silver Ridge,Outdoor,Ropa Montaña,70,False,4.0,69.83,279.32,67.14,64.41,70.24
2025-10-28,PROD_019,Merrell Moab 2 GTX,Outdoor,Zapatillas Trail,110,False,4.0,109.04,436.16,103.16,100.4,103.19
2025-10-28,PROD_020,Quechua MH500,Outdoor,Ropa Montaña,80,False,2.0,79.92,159.84,73.14,73.58,80.37
2025-10-28,PROD_021,Manduka PRO Yoga Mat,Wellness,Esterilla Yoga,130,True,6.0,131.55,789.3000000000001,135.49,122.85,121.31
2025-10-28,PROD_022,Gaiam Premium Yoga Block,Wellness,Bloque Yoga,20,False,1.0,19.64,19.64,18.59,17.96,21.07
2025-10-28,PROD_023,Liforme Yoga Pad,Wellness,Rodillera Yoga,35,False,3.0,35.09,105.27,37.37,30.7,34.04
2025-10-28,PROD_024,Lotuscrafts Yoga Bolster,Wellness,Cojín Yoga,50,False,4.0,49.2,196.8,48.4,44.07,47.97
2025-10-29,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,14.0,108.1,1513.4,83.96,111.43,106.17
2025-10-29,PROD_002,Adidas Ultraboost 23,Running,Zapatillas Running,135,True,14.0,135.78,1900.92,121.47,111.28,127.52
2025-10-29,PROD_003,Asics Gel Nimbus 25,Running,Zapatillas Running,85,False,8.0,83.98,671.84,83.88,84.63,85.81
2025-10-29,PROD_004,New Balance Fresh Foam X 1080v12,Running,Zapatillas Running,75,False,1.0,75.74,75.74,78.36,69.4,76.57
2025-10-29,PROD_005,Nike Dri-FIT Miler,Running,Ropa Running,35,False,5.0,34.44,172.2,36.3,32.04,36.09
2025-10-29,PROD_006,Adidas Own The Run Jacket,Running,Ropa Running,65,False,3.0,65.78,197.34,62.34,59.74,64.12
2025-10-29,PROD_007,Puma Velocity Nitro 2,Running,Zapatillas Running,70,False,1.0,69.89,69.89,75.39,64.19,76.33
2025-10-29,PROD_008,Reebok Floatride Energy 5,Running,Zapatillas Running,65,False,1.0,63.83,63.83,73.74,59.08,67.78
2025-10-29,PROD_009,Bowflex SelectTech 552,Fitness,Mancuernas Ajustables,400,True,2.0,441.33,882.66,387.39,363.45,356.04
2025-10-29,PROD_010,Domyos BM900,Fitness,Banco Gimnasio,175,True,2.0,179.07,358.14,180.3,152.21,158.16
2025-10-29,PROD_011,Reebok Professional Deck,Fitness,Esterilla Fitness,45,False,1.0,45.24,45.24,46.61,43.35,45.3
2025-10-29,PROD_012,Domyos Kit Mancuernas 20kg,Fitness,Pesas Casa,55,False,1.0,55.29,55.29,52.96,51.02,56.03
2025-10-29,PROD_013,Decathlon Bandas Elásticas Set,Fitness,Bandas Elásticas,25,False,4.0,25.31,101.24,25.6,22.31,25.02
2025-10-29,PROD_014,Sveltus Kettlebell 12kg,Fitness,Pesa Rusa,40,False,11.0,39.88,438.68,37.28,36.3,38.09
2025-10-29,PROD_015,Salomon Speedcross 5 GTX,Outdoor,Zapatillas Trail,150,True,5.0,140.94,704.7,144.39,152.45,138.03
2025-10-29,PROD_016,Trek Marlin 7,Outdoor,Bicicleta Montaña,830,True,3.0,785.23,2355.69,770.41,698.15,793.45
2025-10-29,PROD_017,The North Face Borealis,Outdoor,Mochila Trekking,95,False,6.0,95.23,571.38,104.33,91.5,97.84
2025-10-29,PROD_018,Columbia Silver Ridge,Outdoor,Ropa Montaña,70,False,3.0,70.01,210.03000000000003,69.48,64.93,67.02
2025-10-29,PROD_019,Merrell Moab 2 GTX,Outdoor,Zapatillas Trail,110,False,2.0,111.33,222.66,105.91,101.74,121.39
2025-10-29,PROD_020,Quechua MH500,Outdoor,Ropa Montaña,80,False,6.0,81.18,487.08,80.98,72.17,80.38
2025-10-29,PROD_021,Manduka PRO Yoga Mat,Wellness,Esterilla Yoga,130,True,6.0,127.97,767.8199999999999,130.85,109.21,123.53
2025-10-29,PROD_022,Gaiam Premium Yoga Block,Wellness,Bloque Yoga,20,False,3.0,19.77,59.31,20.26,18.01,21.57
2025-10-29,PROD_023,Liforme Yoga Pad,Wellness,Rodillera Yoga,35,False,1.0,35.59,35.59,34.97,31.01,34.43
2025-10-29,PROD_024,Lotuscrafts Yoga Bolster,Wellness,Cojín Yoga,50,False,2.0,49.14,98.28,49.6,43.5,49.98
2025-10-30,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,10.0,113.24,1132.4,89.12,124.61,102.33
2025-10-30,PROD_002,Adidas Ultraboost 23,Running,Zapatillas Running,135,True,13.0,138.36,1798.6800000000003,121.04,113.8,112.42
2025-10-30,PROD_003,Asics Gel Nimbus 25,Running,Zapatillas Running,85,False,4.0,83.88,335.52,82.57,75.92,83.6
2025-10-30,PROD_004,New Balance Fresh Foam X 1080v12,Running,Zapatillas Running,75,False,9.0,73.78,664.02,68.99,66.45,76.72
2025-10-30,PROD_005,Nike Dri-FIT Miler,Running,Ropa Running,35,False,2.0,35.55,71.1,36.56,32.39,34.71
2025-10-30,PROD_006,Adidas Own The Run Jacket,Running,Ropa Running,65,False,3.0,65.8,197.4,62.22,60.45,63.06
2025-10-30,PROD_007,Puma Velocity Nitro 2,Running,Zapatillas Running,70,False,3.0,71.04,213.12,70.18,64.03,71.46
2025-10-30,PROD_008,Reebok Floatride Energy 5,Running,Zapatillas Running,65,False,2.0,63.98,127.96,65.26,58.59,69.78
2025-10-30,PROD_009,Bowflex SelectTech 552,Fitness,Mancuernas Ajustables,400,True,2.0,388.78,777.56,385.11,347.46,403.6
2025-10-30,PROD_010,Domyos BM900,Fitness,Banco Gimnasio,175,True,2.0,177.27,354.54,181.51,157.55,170.16
2025-10-30,PROD_011,Reebok Professional Deck,Fitness,Esterilla Fitness,45,False,5.0,45.07,225.35,44.15,41.04,45.41
2025-10-30,PROD_012,Domyos Kit Mancuernas 20kg,Fitness,Pesas Casa,55,False,6.0,54.3,325.79999999999995,55.66,49.87,51.57
2025-10-30,PROD_013,Decathlon Bandas Elásticas Set,Fitness,Bandas Elásticas,25,False,6.0,25.1,150.60000000000002,25.03,22.79,25.0
2025-10-30,PROD_014,Sveltus Kettlebell 12kg,Fitness,Pesa Rusa,40,False,1.0,40.52,40.52,41.92,37.51,39.73
2025-10-30,PROD_015,Salomon Speedcross 5 GTX,Outdoor,Zapatillas Trail,150,True,3.0,149.83,449.49,134.29,159.19,143.08
2025-10-30,PROD_016,Trek Marlin 7,Outdoor,Bicicleta Montaña,830,True,3.0,789.42,2368.26,809.57,716.2,869.13
2025-10-30,PROD_017,The North Face Borealis,Outdoor,Mochila Trekking,95,False,2.0,96.24,192.48,98.49,84.44,94.41
2025-10-30,PROD_018,Columbia Silver Ridge,Outdoor,Ropa Montaña,70,False,4.0,71.07,284.28,65.52,63.46,69.84
2025-10-30,PROD_019,Merrell Moab 2 GTX,Outdoor,Zapatillas Trail,110,False,4.0,109.55,438.2,109.13,100.84,106.26
2025-10-30,PROD_020,Quechua MH500,Outdoor,Ropa Montaña,80,False,2.0,79.28,158.56,79.13,70.42,79.59
2025-10-30,PROD_021,Manduka PRO Yoga Mat,Wellness,Esterilla Yoga,130,True,5.0,131.41,657.05,123.83,117.52,137.02
2025-10-30,PROD_022,Gaiam Premium Yoga Block,Wellness,Bloque Yoga,20,False,2.0,20.14,40.28,20.32,17.29,20.59
2025-10-30,PROD_023,Liforme Yoga Pad,Wellness,Rodillera Yoga,35,False,3.0,35.63,106.89,32.22,34.12,35.68
2025-10-30,PROD_024,Lotuscrafts Yoga Bolster,Wellness,Cojín Yoga,50,False,4.0,50.41,201.64,48.08,42.67,48.02
2025-10-31,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,14.0,110.93,1553.02,83.19,111.07,101.95
2025-10-31,PROD_002,Adidas Ultraboost 23,Running,Zapatillas Running,135,True,13.0,131.06,1703.78,116.42,105.63,124.76
2025-10-31,PROD_003,Asics Gel Nimbus 25,Running,Zapatillas Running,85,False,2.0,83.71,167.42,93.3,76.1,84.52
2025-10-31,PROD_004,New Balance Fresh Foam X 1080v12,Running,Zapatillas Running,75,False,3.0,75.39,226.17,74.54,71.99,73.7
2025-10-31,PROD_005,Nike Dri-FIT Miler,Running,Ropa Running,35,False,4.0,35.18,140.72,35.89,30.01,34.29
2025-10-31,PROD_006,Adidas Own The Run Jacket,Running,Ropa Running,65,False,1.0,64.96,64.96,59.67,62.0,68.41
2025-10-31,PROD_007,Puma Velocity Nitro 2,Running,Zapatillas Running,70,False,4.0,70.58,282.32,70.82,64.34,66.73
2025-10-31,PROD_008,Reebok Floatride Energy 5,Running,Zapatillas Running,65,False,3.0,64.83,194.49,67.14,58.13,66.53
2025-10-31,PROD_009,Bowflex SelectTech 552,Fitness,Mancuernas Ajustables,400,True,2.0,398.28,796.56,366.05,354.74,352.22
2025-10-31,PROD_010,Domyos BM900,Fitness,Banco Gimnasio,175,True,3.0,170.46,511.38,197.06,149.19,167.74
2025-10-31,PROD_011,Reebok Professional Deck,Fitness,Esterilla Fitness,45,False,7.0,44.28,309.96000000000004,45.41,41.43,45.63
2025-10-31,PROD_012,Domyos Kit Mancuernas 20kg,Fitness,Pesas Casa,55,False,5.0,55.82,279.1,56.93,45.61,57.39
2025-10-31,PROD_013,Decathlon Bandas Elásticas Set,Fitness,Bandas Elásticas,25,False,2.0,25.11,50.22,23.93,23.65,24.67
2025-10-31,PROD_014,Sveltus Kettlebell 12kg,Fitness,Pesa Rusa,40,False,4.0,39.97,159.88,38.97,37.06,37.65
2025-10-31,PROD_015,Salomon Speedcross 5 GTX,Outdoor,Zapatillas Trail,150,True,4.0,147.87,591.48,147.96,141.03,139.54
2025-10-31,PROD_016,Trek Marlin 7,Outdoor,Bicicleta Montaña,830,True,3.0,820.38,2461.14,829.28,691.29,818.57
2025-10-31,PROD_017,The North Face Borealis,Outdoor,Mochila Trekking,95,False,3.0,96.08,288.24,92.13,89.53,96.86
2025-10-31,PROD_018,Columbia Silver Ridge,Outdoor,Ropa Montaña,70,False,2.0,70.08,140.16,71.84,64.66,70.25
2025-10-31,PROD_019,Merrell Moab 2 GTX,Outdoor,Zapatillas Trail,110,False,2.0,110.03,220.06,105.66,100.06,114.2
2025-10-31,PROD_020,Quechua MH500,Outdoor,Ropa Montaña,80,False,3.0,81.16,243.48,72.08,75.86,77.07
2025-10-31,PROD_021,Manduka PRO Yoga Mat,Wellness,Esterilla Yoga,130,True,6.0,131.32,787.92,134.84,118.69,116.82
2025-10-31,PROD_022,Gaiam Premium Yoga Block,Wellness,Bloque Yoga,20,False,3.0,20.19,60.57000000000001,19.09,18.9,18.94
2025-10-31,PROD_023,Liforme Yoga Pad,Wellness,Rodillera Yoga,35,False,6.0,35.36,212.16,33.35,30.61,34.72
2025-10-31,PROD_024,Lotuscrafts Yoga Bolster,Wellness,Cojín Yoga,50,False,1.0,49.41,49.41,47.99,42.83,49.58
2025-11-01,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,,115.0,,81.78,117.08,102.97
2025-11-01,PROD_002,Adidas Ultraboost 23,Running,Zapatillas Running,135,True,,135.0,,121.0,116.13,120.11
2025-11-01,PROD_003,Asics Gel Nimbus 25,Running,Zapatillas Running,85,False,,86.39,,88.64,74.21,85.22
2025-11-01,PROD_004,New Balance Fresh Foam X 1080v12,Running,Zapatillas Running,75,False,,74.09,,85.42,65.98,76.98
2025-11-01,PROD_005,Nike Dri-FIT Miler,Running,Ropa Running,35,False,,34.76,,36.95,32.91,35.69
2025-11-01,PROD_006,Adidas Own The Run Jacket,Running,Ropa Running,65,False,,63.8,,63.82,60.99,61.98
2025-11-01,PROD_007,Puma Velocity Nitro 2,Running,Zapatillas Running,70,False,,70.3,,75.74,62.67,67.11
2025-11-01,PROD_008,Reebok Floatride Energy 5,Running,Zapatillas Running,65,False,,64.41,,68.08,55.66,67.77
2025-11-01,PROD_009,Bowflex SelectTech 552,Fitness,Mancuernas Ajustables,400,True,,400.0,,389.87,351.56,355.83
2025-11-01,PROD_010,Domyos BM900,Fitness,Banco Gimnasio,175,True,,175.0,,199.88,158.87,160.44
2025-11-01,PROD_011,Reebok Professional Deck,Fitness,Esterilla Fitness,45,False,,44.22,,47.31,39.68,45.16
2025-11-01,PROD_012,Domyos Kit Mancuernas 20kg,Fitness,Pesas Casa,55,False,,54.26,,49.8,50.98,54.82
2025-11-01,PROD_013,Decathlon Bandas Elásticas Set,Fitness,Bandas Elásticas,25,False,,25.4,,23.13,22.22,24.26
2025-11-01,PROD_014,Sveltus Kettlebell 12kg,Fitness,Pesa Rusa,40,False,,39.22,,40.48,35.36,39.73
2025-11-01,PROD_015,Salomon Speedcross 5 GTX,Outdoor,Zapatillas Trail,150,True,,150.0,,146.88,142.99,143.31
2025-11-01,PROD_016,Trek Marlin 7,Outdoor,Bicicleta Montaña,830,True,,830.0,,823.61,719.37,850.89
2025-11-01,PROD_017,The North Face Borealis,Outdoor,Mochila Trekking,95,False,,95.07,,88.71,86.24,91.85
2025-11-01,PROD_018,Columbia Silver Ridge,Outdoor,Ropa Montaña,70,False,,69.12,,68.51,64.55,70.53
2025-11-01,PROD_019,Merrell Moab 2 GTX,Outdoor,Zapatillas Trail,110,False,,110.89,,106.15,95.04,101.69
2025-11-01,PROD_020,Quechua MH500,Outdoor,Ropa Montaña,80,False,,80.84,,76.87,73.58,72.79
2025-11-01,PROD_021,Manduka PRO Yoga Mat,Wellness,Esterilla Yoga,130,True,,130.0,,135.86,118.93,136.38
2025-11-01,PROD_022,Gaiam Premium Yoga Block,Wellness,Bloque Yoga,20,False,,19.92,,19.09,18.63,19.73
2025-11-01,PROD_023,Liforme Yoga Pad,Wellness,Rodillera Yoga,35,False,,35.39,,36.57,31.64,30.44
2025-11-01,PROD_024,Lotuscrafts Yoga Bolster,Wellness,Cojín Yoga,50,False,,49.57,,50.29,45.71,48.43
2025-11-02,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,,115.0,,86.36,110.03,96.83
2025-11-02,PROD_002,Adidas Ultraboost 23,Running,Zapatillas Running,135,True,,135.0,,114.52,113.78,126.45
2025-11-02,PROD_003,Asics Gel Nimbus 25,Running,Zapatillas Running,85,False,,85.16,,76.03,78.17,87.39
2025-11-02,PROD_004,New Balance Fresh Foam X 1080v12,Running,Zapatillas Running,75,False,,73.57,,70.19,69.57,73.81
2025-11-02,PROD_005,Nike Dri-FIT Miler,Running,Ropa Running,35,False,,34.43,,35.95,31.24,34.87
2025-11-02,PROD_006,Adidas Own The Run Jacket,Running,Ropa Running,65,False,,66.03,,74.72,61.51,64.08
2025-11-02,PROD_007,Puma Velocity Nitro 2,Running,Zapatillas Running,70,False,,71.36,,69.56,69.36,70.95
2025-11-02,PROD_008,Reebok Floatride Energy 5,Running,Zapatillas Running,65,False,,63.94,,64.35,60.56,65.42
2025-11-02,PROD_009,Bowflex SelectTech 552,Fitness,Mancuernas Ajustables,400,True,,400.0,,390.69,360.96,368.63
2025-11-02,PROD_010,Domyos BM900,Fitness,Banco Gimnasio,175,True,,175.0,,196.2,153.19,187.25
2025-11-02,PROD_011,Reebok Professional Deck,Fitness,Esterilla Fitness,45,False,,44.72,,43.5,40.48,45.15
2025-11-02,PROD_012,Domyos Kit Mancuernas 20kg,Fitness,Pesas Casa,55,False,,54.47,,51.06,52.3,54.03
